,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x26,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,BDOT.GAIN_X,float,(float)(bdot->control_gain[0]),PACKET,26,0,32,NONE,,,,,,,,body座標系x軸に関するBdot則制御ゲイン,
,BDOT.GAIN_Y,float,(float)(bdot->control_gain[1]),PACKET,30,0,32,NONE,,,,,,,,body座標系y軸に関するBdot則制御ゲイン,
,BDOT.GAIN_Z,float,(float)(bdot->control_gain[2]),PACKET,34,0,32,NONE,,,,,,,,body座標系z軸に関するBdot則制御ゲイン,
,BDOT.MINIMUM_TIME_DERIVATIVE_STEP_MS,uint32_t,(uint32_t)(bdot->minimum_time_derivative_step_ms),PACKET,38,0,32,NONE,,,,,,,,Bdot則における磁場ベクトル時間微分計算の最小タイムステップ[ms],
,BDOT.MTQ_OUTPUT_TIME_LENGTH_MS,uint32_t,(uint32_t)(bdot->mtq_output_time_length_ms),PACKET,42,0,32,NONE,,,,,,,,Bdot則におけるMTQ出力継続時間[ms],
,SELECTOR.MAG.STATE,uint8_t,(uint8_t)(magnetometer_selector->state),PACKET,46,0,8,STATUS,,,,,,,0=RM_AOBC@@ 1=RM_EXT@@ 2=MPU@@ 3=FUSION,磁気センサセレクタ状態,
,SELECTOR.MAG.AUTO_FLAG,uint8_t,(uint8_t)(magnetometer_selector->auto_flag),PACKET,47,0,8,STATUS,,,,,,,0=Manual@@ 1=Auto,磁気センサセレクタ自動選択フラグ,
,SELECTOR.GYRO.STATE,uint8_t,(uint8_t)(gyro_selector->state),PACKET,48,0,8,STATUS,,,,,,,0=MPU@@ 1=STIM@@ 2=FUSION,ジャイロセンサセレクタ状態,
,SELECTOR.GYRO.AUTO_FLAG,uint8_t,(uint8_t)(gyro_selector->auto_flag),PACKET,49,0,8,STATUS,,,,,,,0=Manual@@ 1=Auto,ジャイロセンサセレクタ自動選択フラグ,
,SELECTOR.SUN_SENSOR.INTENSITY_THRESHOLD.UPPER,float,(float)(sun_sensor_selector->sun_intensity_upper_threshold_percent),PACKET,50,0,32,NONE,,,,,,,,太陽センサセレクタ光強度上限閾値,
,SELECTOR.SUN_SENSOR.INTENSITY_THRESHOLD.LOWER,float,(float)(sun_sensor_selector->sun_intensity_lower_threshold_percent),PACKET,54,0,32,NONE,,,,,,,,太陽センサセレクタ光強度下限閾値,
,DETERMINATION.ROUGH_THREE_AXIS.METHOD,uint8_t,(uint8_t)(rough_three_axis_determination->method),PACKET,58,0,8,STATUS,,,,,,,0=TRIAD@@ 1=Qmethod,粗三軸決定手法,
,DETERMINATION.ROUGH_THREE_AXIS.SUN_INVISIBLE_PROPAGATION,uint8_t,(uint8_t)(rough_three_axis_determination->sun_invisible_propagation),PACKET,59,0,8,STATUS,,,,,,,0=SunVector@@ 1=Quaternion,粗三軸決定時に太陽が見えないときの伝搬手法,
,DETERMINATION.ROUGH_THREE_AXIS.SUN_VEC_WEIGHT,float,(float)(rough_three_axis_determination->q_method_info.sun_vec_weight),PACKET,60,0,32,NONE,,,,,,,,Qmethodにおける太陽方向ベクトルの重み,
,DETERMINATION.ROUGH_THREE_AXIS.MAG_VEC_WEIGHT,float,(float)(rough_three_axis_determination->q_method_info.mag_vec_weight),PACKET,64,0,32,NONE,,,,,,,,Qmethodにおける磁場方向ベクトルの重み,
,DETERMINATION.FINE_THREE_AXIS_METHOD,uint8_t,(uint8_t)(fine_three_axis_determination->method),PACKET,68,0,8,STATUS,,,,,,,0=STT@@ 1=EKF,精三軸決定手法,
,CONTROL.ERROR.ANGULAR_VELOCITY.BODY_X_rad_s,float,(float)(aocs_manager->ang_vel_error_body_rad_s[0]),PACKET,69,0,32,NONE,,,,,,,,制御角速度誤差 Body-X [rad/s],
,CONTROL.ERROR.ANGULAR_VELOCITY.BODY_Y_rad_s,float,(float)(aocs_manager->ang_vel_error_body_rad_s[1]),PACKET,73,0,32,NONE,,,,,,,,制御角速度誤差 Body-Y [rad/s],
,CONTROL.ERROR.ANGULAR_VELOCITY.BODY_Z_rad_s,float,(float)(aocs_manager->ang_vel_error_body_rad_s[2]),PACKET,77,0,32,NONE,,,,,,,,制御角速度誤差 Body-Z [rad/s],
,CONTROL.ERROR.QUATERNION_B2T.X,float,(float)(aocs_manager->quaternion_error_b2t.vector_part[0]),PACKET,81,0,32,NONE,,,,,,,,制御誤差Quaternoin Body->Target X,
,CONTROL.ERROR.QUATERNION_B2T.Y,float,(float)(aocs_manager->quaternion_error_b2t.vector_part[1]),PACKET,85,0,32,NONE,,,,,,,,制御誤差Quaternoin Body->Target Y,
,CONTROL.ERROR.QUATERNION_B2T.Z,float,(float)(aocs_manager->quaternion_error_b2t.vector_part[2]),PACKET,89,0,32,NONE,,,,,,,,制御誤差Quaternoin Body->Target Z,
,CONTROL.ERROR.QUATERNION_B2T.W,float,(float)(aocs_manager->quaternion_error_b2t.scalar_part),PACKET,93,0,32,NONE,,,,,,,,制御誤差Quaternoin Body->Target W,
,CONTROL.ERROR.SUN_DIRECTION_rad,float,(float)(aocs_manager->sun_vec_error_rad),PACKET,97,0,32,NONE,,,,,,,,制御太陽角度誤差 [rad],
,UNLOADING.CONTROL_GAIN,float,(float)(unloading->control_gain),PACKET,101,0,32,NONE,,,,,,,,アンローディングにおけるMTQ出力ゲイン,
,UNLOADING.EXEC_IS_ENABLE,uint8_t,(uint8_t)(unloading->exec_is_enable),PACKET,105,0,8,STATUS,,,,,,,0=ENABLE@@ 1=DISABLE,アンローディング出力が有効かどうか,
,UNLOADING.THRESHOLD.X.UPPER,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[0]),PACKET,106,0,32,NONE,,,,,,,,アンローディング上限閾値 RW-X [rad/s],
,UNLOADING.THRESHOLD.X.TARGET,float,(float)(unloading->angular_velocity_target_rad_s[0]),PACKET,110,0,32,NONE,,,,,,,,アンローディング目標 RW-X [rad/s],
,UNLOADING.THRESHOLD.X.LOWER,float,(float)(unloading->angular_velocity_lower_threshold_rad_s[0]),PACKET,114,0,32,NONE,,,,,,,,アンローディング下限閾値 RW-X [rad/s],
,UNLOADING.THRESHOLD.Y.UPPER,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[1]),PACKET,118,0,32,NONE,,,,,,,,アンローディング上限閾値 RW-Y [rad/s],
,UNLOADING.THRESHOLD.Y.TARGET,float,(float)(unloading->angular_velocity_target_rad_s[1]),PACKET,122,0,32,NONE,,,,,,,,アンローディング目標 RW-Y [rad/s],
,UNLOADING.THRESHOLD.Y.LOWER,float,(float)(unloading->angular_velocity_lower_threshold_rad_s[1]),PACKET,126,0,32,NONE,,,,,,,,アンローディング下限閾値 RW-Y [rad/s],
,UNLOADING.THRESHOLD.Z.UPPER,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[2]),PACKET,130,0,32,NONE,,,,,,,,アンローディング上限閾値 RW-Z [rad/s],
