,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x22,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,ANG_VEL.EST.B_X_rad/s,float,(float)(aocs_manager->ang_vel_est_body_rad_s[0]),PACKET,26,0,32,NONE,,,,,,,,推定角加速度 機体座標X [rad/s],
,ANG_VEL.EST.B_Y_rad/s,float,(float)(aocs_manager->ang_vel_est_body_rad_s[1]),PACKET,30,0,32,NONE,,,,,,,,推定角加速度 機体座標Y [rad/s],
,ANG_VEL.EST.B_Z_rad/s,float,(float)(aocs_manager->ang_vel_est_body_rad_s[2]),PACKET,34,0,32,NONE,,,,,,,,推定角加速度 機体座標Z [rad/s],
,ANG_VEL.TARGET.B_X_rad/s,float,(float)(aocs_manager->ang_vel_target_body_rad_s[0]),PACKET,38,0,32,NONE,,,,,,,,目標角加速度 機体座標X [rad/s],
,ANG_VEL.TARGET.B_Y_rad/s,float,(float)(aocs_manager->ang_vel_target_body_rad_s[1]),PACKET,42,0,32,NONE,,,,,,,,目標角加速度 機体座標Y [rad/s],
,ANG_VEL.TARGET.B_Z_rad/s,float,(float)(aocs_manager->ang_vel_target_body_rad_s[2]),PACKET,46,0,32,NONE,,,,,,,,目標角加速度 機体座標Z [rad/s],
,QUATERNION.EST.I2B_X,float,(float)(aocs_manager->quaternion_est_i2b.vector_part[0]),PACKET,50,0,32,NONE,,,,,,,,推定Quaternion I2B X,
,QUATERNION.EST.I2B_Y,float,(float)(aocs_manager->quaternion_est_i2b.vector_part[1]),PACKET,54,0,32,NONE,,,,,,,,推定Quaternion I2B Y,
,QUATERNION.EST.I2B_Z,float,(float)(aocs_manager->quaternion_est_i2b.vector_part[2]),PACKET,58,0,32,NONE,,,,,,,,推定Quaternion I2B Z,
,QUATERNION.EST.I2B_W,float,(float)(aocs_manager->quaternion_est_i2b.scalar_part),PACKET,62,0,32,NONE,,,,,,,,推定Quaternion I2B W,
,QUATERNION.TARGET.CURRENT_IDX_INTERPOLATION_MODE,uint8_t,(uint8_t)(quaternion_interpolator->index),PACKET,66,0,8,NONE,,,,,,,,Quaternion内挿モードでの現在の参照IDX,
,QUATERNION.TARGET.I2T_X,float,(float)(aocs_manager->quaternion_target_i2t.vector_part[0]),PACKET,67,0,32,NONE,,,,,,,,目標Quaternion I2T X,
,QUATERNION.TARGET.I2T_Y,float,(float)(aocs_manager->quaternion_target_i2t.vector_part[1]),PACKET,71,0,32,NONE,,,,,,,,目標Quaternion I2T Y,
,QUATERNION.TARGET.I2T_Z,float,(float)(aocs_manager->quaternion_target_i2t.vector_part[2]),PACKET,75,0,32,NONE,,,,,,,,目標Quaternion I2T Z,
,QUATERNION.TARGET.I2T_W,float,(float)(aocs_manager->quaternion_target_i2t.scalar_part),PACKET,79,0,32,NONE,,,,,,,,目標Quaternion I2T W,
,SUN_DIRECTION.EST.I_X,float,(float)(aocs_manager->sun_vec_est_eci[0]),PACKET,83,0,32,NONE,,,,,,,,推定太陽方向 慣性座標X,
,SUN_DIRECTION.EST.I_Y,float,(float)(aocs_manager->sun_vec_est_eci[1]),PACKET,87,0,32,NONE,,,,,,,,推定太陽方向 慣性座標Y,
,SUN_DIRECTION.EST.I_Z,float,(float)(aocs_manager->sun_vec_est_eci[2]),PACKET,91,0,32,NONE,,,,,,,,推定太陽方向 慣性座標Z,
,SUN_DIRECTION.EST.B_X,float,(float)(aocs_manager->sun_vec_est_body[0]),PACKET,95,0,32,NONE,,,,,,,,推定太陽方向 機体座標X,
,SUN_DIRECTION.EST.B_Y,float,(float)(aocs_manager->sun_vec_est_body[1]),PACKET,99,0,32,NONE,,,,,,,,推定太陽方向 機体座標Y,
,SUN_DIRECTION.EST.B_Z,float,(float)(aocs_manager->sun_vec_est_body[2]),PACKET,103,0,32,NONE,,,,,,,,推定太陽方向 機体座標Z,
,SUN_DIRECTION.TARGET.B_X,float,(float)(aocs_manager->sun_vec_target_body[0]),PACKET,107,0,32,NONE,,,,,,,,目標太陽方向 機体座標X,
,SUN_DIRECTION.TARGET.B_Y,float,(float)(aocs_manager->sun_vec_target_body[1]),PACKET,111,0,32,NONE,,,,,,,,目標太陽方向 機体座標Y,
,SUN_DIRECTION.TARGET.B_Z,float,(float)(aocs_manager->sun_vec_target_body[2]),PACKET,115,0,32,NONE,,,,,,,,目標太陽方向 機体座標Z,
,MAG.EST.I_X_nT,float,(float)(aocs_manager->mag_vec_est_eci_nT[0]),PACKET,119,0,32,NONE,,,,,,,,推定磁場ベクトル 慣性座標X [nT],
,MAG.EST.I_Y_nT,float,(float)(aocs_manager->mag_vec_est_eci_nT[1]),PACKET,123,0,32,NONE,,,,,,,,推定磁場ベクトル 慣性座標Y [nT],
,MAG.EST.I_Z_nT,float,(float)(aocs_manager->mag_vec_est_eci_nT[2]),PACKET,127,0,32,NONE,,,,,,,,推定磁場ベクトル 慣性座標Z [nT],
,MAG.EST.B_X_nT,float,(float)(aocs_manager->mag_vec_est_body_nT[0]),PACKET,131,0,32,NONE,,,,,,,,推定磁場ベクトル 機体座標X [nT],
,MAG.EST.B_Y_nT,float,(float)(aocs_manager->mag_vec_est_body_nT[1]),PACKET,135,0,32,NONE,,,,,,,,推定磁場ベクトル 機体座標Y [nT],
,MAG.EST.B_Z_nT,float,(float)(aocs_manager->mag_vec_est_body_nT[2]),PACKET,139,0,32,NONE,,,,,,,,推定磁場ベクトル 機体座標Z [nT],
,TORQUE.IN_TARGET_B.X_Nm,float,(float)(aocs_manager->internal_torque_target_body_Nm[0]),PACKET,143,0,32,NONE,,,,,,,,目標内力トルク 機体座標X [Nm],
