,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x40,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,VERSION.PROGRAM,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.version.program),PACKET,26,0,8,NONE,,,,,,,,プログラムの種類,
,VERSION.MAJOR,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.version.major),PACKET,27,0,8,NONE,,,,,,,,firmwareのmajor version,
,VERSION.MINOR,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.version.minor),PACKET,28,0,8,NONE,,,,,,,,firmwareのminor version,
,SOLUTION.QUATERNION_I2C_X,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.quaternion_i2c.vector_part[0]),PACKET,29,0,32,NONE,,,,,,,,mountingを考慮したQ_i2c X,
,SOLUTION.QUATERNION_I2C_Y,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.quaternion_i2c.vector_part[1]),PACKET,33,0,32,NONE,,,,,,,,mountingを考慮したQ_i2c Y,
,SOLUTION.QUATERNION_I2C_Z,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.quaternion_i2c.vector_part[2]),PACKET,37,0,32,NONE,,,,,,,,mountingを考慮したQ_i2c Z,
,SOLUTION.QUATERNION_I2C_W,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.quaternion_i2c.scalar_part),PACKET,41,0,32,NONE,,,,,,,,mountingを考慮したQ_i2c W,
,SOLUTION.TRACK_CONFIDENCE,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.track_confidence),PACKET,45,0,32,NONE,,,,,,,,trackingの信頼度@@ 低いほど信頼できる,
,SOLUTION.TRACK_QUATERNION_I2C_X,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.track_quaternion_i2c.vector_part[0]),PACKET,49,0,32,NONE,,,,,,,,tracking alogrithmのQ_i2c X,
,SOLUTION.TRACK_QUATERNION_I2C_Y,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.track_quaternion_i2c.vector_part[1]),PACKET,53,0,32,NONE,,,,,,,,tracking alogrithmのQ_i2c Y,
,SOLUTION.TRACK_QUATERNION_I2C_Z,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.track_quaternion_i2c.vector_part[2]),PACKET,57,0,32,NONE,,,,,,,,tracking alogrithmのQ_i2c Z,
,SOLUTION.TRACK_QUATERNION_I2C_W,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.track_quaternion_i2c.scalar_part),PACKET,61,0,32,NONE,,,,,,,,tracking alogrithmのQ_i2c W,
,SOLUTION.TRACK_REMOVED,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.num_stars_removed),PACKET,65,0,8,NONE,,,,,,,,tracking solutionで除去された恒星数,
,SOLUTION.CENTROIDED_STARS,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.num_stars_centroided),PACKET,66,0,8,NONE,,,,,,,,セントロイド恒星数,
,SOLUTION.MATCHED_STARS,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.num_stars_matched),PACKET,67,0,8,NONE,,,,,,,,Sagittaデータベースと合致した恒星数,
,SOLUTION.LISA_QUATERNION_I2C_X,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.lisa_quaternion_i2c.vector_part[0]),PACKET,68,0,32,NONE,,,,,,,,LISAのQ_i2c X,
,SOLUTION.LISA_QUATERNION_I2C_Y,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.lisa_quaternion_i2c.vector_part[1]),PACKET,72,0,32,NONE,,,,,,,,LISAのQ_i2c Y,
,SOLUTION.LISA_QUATERNION_I2C_Z,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.lisa_quaternion_i2c.vector_part[2]),PACKET,76,0,32,NONE,,,,,,,,LISAのQ_i2c Z,
,SOLUTION.LISA_QUATERNION_I2C_W,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.solution.lisa_quaternion_i2c.scalar_part),PACKET,80,0,32,NONE,,,,,,,,LISAのQ_i2c W,
