,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x30,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,PID_OMEGA.P_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_omega[0].gains.p_gain),PACKET,26,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Pゲイン,
,PID_OMEGA.P_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_omega[1].gains.p_gain),PACKET,30,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Pゲイン,
,PID_OMEGA.P_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_omega[2].gains.p_gain),PACKET,34,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Pゲイン,
,PID_OMEGA.I_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_omega[0].gains.i_gain),PACKET,38,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Iゲイン,
,PID_OMEGA.I_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_omega[1].gains.i_gain),PACKET,42,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Iゲイン,
,PID_OMEGA.I_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_omega[2].gains.i_gain),PACKET,46,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Iゲイン,
,PID_OMEGA.D_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_omega[0].gains.d_gain),PACKET,50,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Dゲイン,
,PID_OMEGA.D_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_omega[1].gains.d_gain),PACKET,54,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Dゲイン,
,PID_OMEGA.D_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_omega[2].gains.d_gain),PACKET,58,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Dゲイン,
,PID_ATT.P_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_att[0].gains.p_gain),PACKET,62,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Pゲイン,
,PID_ATT.P_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_att[1].gains.p_gain),PACKET,66,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Pゲイン,
,PID_ATT.P_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_att[2].gains.p_gain),PACKET,70,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Pゲイン,
,PID_ATT.I_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_att[0].gains.i_gain),PACKET,74,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Iゲイン,
,PID_ATT.I_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_att[1].gains.i_gain),PACKET,78,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Iゲイン,
,PID_ATT.I_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_att[2].gains.i_gain),PACKET,82,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Iゲイン,
,PID_ATT.D_GAIN.BODY_X,float,(float)(three_axis_control_rw->pid_att[0].gains.d_gain),PACKET,86,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Dゲイン,
,PID_ATT.D_GAIN.BODY_Y,float,(float)(three_axis_control_rw->pid_att[1].gains.d_gain),PACKET,90,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Dゲイン,
,PID_ATT.D_GAIN.BODY_Z,float,(float)(three_axis_control_rw->pid_att[2].gains.d_gain),PACKET,94,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Dゲイン,
,PID_OMEGA_CMD_TMP.P_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[0].p_gain),PACKET,98,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Pゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.P_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[1].p_gain),PACKET,102,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Pゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.P_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[2].p_gain),PACKET,106,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Pゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.I_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[0].i_gain),PACKET,110,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Iゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.I_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[1].i_gain),PACKET,114,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Iゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.I_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[2].i_gain),PACKET,118,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Iゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.D_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[0].d_gain),PACKET,122,0,32,NONE,,,,,,,,角速度制御_機体固定X軸_Dゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.D_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[1].d_gain),PACKET,126,0,32,NONE,,,,,,,,角速度制御_機体固定Y軸_Dゲイン_コマンド保存,
,PID_OMEGA_CMD_TMP.D_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_omega_cmd_tmp[2].d_gain),PACKET,130,0,32,NONE,,,,,,,,角速度制御_機体固定Z軸_Dゲイン_コマンド保存,
,PID_ATT_CMD_TMP.P_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[0].p_gain),PACKET,134,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Pゲイン_コマンド保存,
,PID_ATT_CMD_TMP.P_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[1].p_gain),PACKET,138,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Pゲイン_コマンド保存,
,PID_ATT_CMD_TMP.P_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[2].p_gain),PACKET,142,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Pゲイン_コマンド保存,
,PID_ATT_CMD_TMP.I_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[0].i_gain),PACKET,146,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Iゲイン_コマンド保存,
,PID_ATT_CMD_TMP.I_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[1].i_gain),PACKET,150,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Iゲイン_コマンド保存,
,PID_ATT_CMD_TMP.I_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[2].i_gain),PACKET,154,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Iゲイン_コマンド保存,
,PID_ATT_CMD_TMP.D_GAIN.BODY_X,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[0].d_gain),PACKET,158,0,32,NONE,,,,,,,,姿勢制御_機体固定X軸_Dゲイン_コマンド保存,
,PID_ATT_CMD_TMP.D_GAIN.BODY_Y,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[1].d_gain),PACKET,162,0,32,NONE,,,,,,,,姿勢制御_機体固定Y軸_Dゲイン_コマンド保存,
,PID_ATT_CMD_TMP.D_GAIN.BODY_Z,float,(float)(three_axis_control_rw->gains_att_cmd_tmp[2].d_gain),PACKET,166,0,32,NONE,,,,,,,,姿勢制御_機体固定Z軸_Dゲイン_コマンド保存,
,UNLOADING.X.ANG_VEL_UPPER_THRE_rad/s,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[0]),PACKET,170,0,32,NONE,,,,,,,,X軸アンローディング閾値上限 [rad/s],
,UNLOADING.X.ANG_VEL_LOWER_THRE_rad/s,float,(float)(unloading->angular_velocity_lower_threshold_rad_s[0]),PACKET,174,0,32,NONE,,,,,,,,X軸アンローディング閾値下限 [rad/s],
,UNLOADING.X.ANG_VEL_TARGET_rad/s,float,(float)(unloading->angular_velocity_target_rad_s[0]),PACKET,178,0,32,NONE,,,,,,,,X軸アンローディング目標値 [rad/s],
,UNLOADING.Y.ANG_VEL_UPPER_THRE_rad/s,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[1]),PACKET,182,0,32,NONE,,,,,,,,Y軸アンローディング閾値上限 [rad/s],
,UNLOADING.Y.ANG_VEL_LOWER_THRE_rad/s,float,(float)(unloading->angular_velocity_lower_threshold_rad_s[1]),PACKET,186,0,32,NONE,,,,,,,,Y軸アンローディング閾値下限 [rad/s],
,UNLOADING.Y.ANG_VEL_TARGET_rad/s,float,(float)(unloading->angular_velocity_target_rad_s[1]),PACKET,190,0,32,NONE,,,,,,,,Y軸アンローディング目標値 [rad/s],
,UNLOADING.Z.ANG_VEL_UPPER_THRE_rad/s,float,(float)(unloading->angular_velocity_upper_threshold_rad_s[2]),PACKET,194,0,32,NONE,,,,,,,,Z軸アンローディング閾値上限 [rad/s],
,UNLOADING.Z.ANG_VEL_LOWER_THRE_rad/s,float,(float)(unloading->angular_velocity_lower_threshold_rad_s[2]),PACKET,198,0,32,NONE,,,,,,,,Z軸アンローディング閾値下限 [rad/s],
,UNLOADING.Z.ANG_VEL_TARGET_rad/s,float,(float)(unloading->angular_velocity_target_rad_s[2]),PACKET,202,0,32,NONE,,,,,,,,Z軸アンローディング目標値 [rad/s],
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
