,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x26,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,BDOT_GAIN_X,float,(float)(bdot->control_gain[0]),PACKET,26,0,32,NONE,,,,,,,,body座標系x軸に関するBdot則制御ゲイン,
,BDOT_GAIN_Y,float,(float)(bdot->control_gain[1]),PACKET,30,0,32,NONE,,,,,,,,body座標系y軸に関するBdot則制御ゲイン,
,BDOT_GAIN_Z,float,(float)(bdot->control_gain[2]),PACKET,34,0,32,NONE,,,,,,,,body座標系z軸に関するBdot則制御ゲイン,
,BDOT_MINIMUM_TIME_DERIVATIVE_STEP_MS,uint32_t,(uint32_t)(bdot->minimum_time_derivative_step_ms),PACKET,38,0,32,NONE,,,,,,,,Bdot則における磁場ベクトル時間微分計算の最小タイムステップ[ms],
,BDOT_MTQ_OUTPUT_TIME_LENGTH_MS,uint32_t,(uint32_t)(bdot->mtq_output_time_length_ms),PACKET,42,0,32,NONE,,,,,,,,Bdot則におけるMTQ出力継続時間[ms],
,MTQ_SEIREN_CONTROLLER_DEMAGNITIZATION_TIME_MS,uint32_t,(uint32_t)(mtq_seiren_controller->mtq_demagnetization_required_time_ms),PACKET,46,0,32,NONE,,,,,,,,MTQの消磁に必要な時間[ms],
,TARGET_CALC_MODE,uint8_t,(uint8_t)(target_attitude_calculator->mode),PACKET,50,0,8,STATUS,,,,,,,0=MANUAL@@ 1=CALCULATION_FROM_ORBIT@@ 2=INTERPOLATION,目標Quaternion計算方法,
,TARGET_CALC_ENABLE,uint8_t,(uint8_t)(target_attitude_calculator->is_enabled),PACKET,51,0,8,STATUS,,,,,,,0=DISABLE@@ 1=ENABLE,目標Quaternionをaocs_managerに反映する,
,QUATERNION_TARGET_I2T_X,float,(float)(target_attitude_calculator->quaternion_target_i2t.vector_part[0]),PACKET,52,0,32,NONE,,,,,,,,オンボード計算した目標Quaternion I2T X,
,QUATERNION_TARGET_I2T_Y,float,(float)(target_attitude_calculator->quaternion_target_i2t.vector_part[1]),PACKET,56,0,32,NONE,,,,,,,,オンボード計算した目標Quaternion I2T Y,
,QUATERNION_TARGET_I2T_Z,float,(float)(target_attitude_calculator->quaternion_target_i2t.vector_part[2]),PACKET,60,0,32,NONE,,,,,,,,オンボード計算した目標Quaternion I2T Z,
,QUATERNION_TARGET_I2T_W,float,(float)(target_attitude_calculator->quaternion_target_i2t.scalar_part),PACKET,64,0,32,NONE,,,,,,,,オンボード計算した目標Quaternion I2T W,
,ANG_VEL_TARGET_B_X_rad/s,float,(float)(target_attitude_calculator->ang_vel_target_body_rad_s[0]),PACKET,68,0,32,NONE,,,,,,,,オンボード計算した目標角速度　機体座標X　[rad/s],
,ANG_VEL_TARGET_B_Y_rad/s,float,(float)(target_attitude_calculator->ang_vel_target_body_rad_s[1]),PACKET,72,0,32,NONE,,,,,,,,オンボード計算した目標角速度　機体座標Y　[rad/s],
,ANG_VEL_TARGET_B_Z_rad/s,float,(float)(target_attitude_calculator->ang_vel_target_body_rad_s[2]),PACKET,76,0,32,NONE,,,,,,,,オンボード計算した目標角速度　機体座標Z　[rad/s],
,MAIN_TARGET_DIRECTION,uint8_t,(uint8_t)(target_attitude_from_orbit->main_target_direction),PACKET,80,0,8,STATUS,,,,,,,0=SUN@@ 1=SAT_VELOCITY@@ 2=EARTH_CENTER@@ 3=EARTH_SURFACE@@ 4=ORBIT_NORMAL,目標方向（main）,
,SUB_TARGET_DIRECTION,uint8_t,(uint8_t)(target_attitude_from_orbit->sub_target_direction),PACKET,81,0,8,STATUS,,,,,,,0=SUN@@ 1=SAT_VELOCITY@@ 2=EARTH_CENTER@@ 3=EARTH_SURFACE@@ 4=ORBIT_NORMAL,目標方向（sub）,
,VEC_TO_MAIN_TARGET_BODY_X,float,(float)(target_attitude_from_orbit->vec_to_main_target_body[0]),PACKET,82,0,32,NONE,,,,,,,,目標方向（main）に向けたいbody座標系ベクトル（X）,
,VEC_TO_MAIN_TARGET_BODY_Y,float,(float)(target_attitude_from_orbit->vec_to_main_target_body[1]),PACKET,86,0,32,NONE,,,,,,,,目標方向（main）に向けたいbody座標系ベクトル（Y）,
,VEC_TO_MAIN_TARGET_BODY_Z,float,(float)(target_attitude_from_orbit->vec_to_main_target_body[2]),PACKET,90,0,32,NONE,,,,,,,,目標方向（main）に向けたいbody座標系ベクトル（Z）,
,VEC_TO_SUB_TARGET_BODY_X,float,(float)(target_attitude_from_orbit->vec_to_sub_target_body[0]),PACKET,94,0,32,NONE,,,,,,,,目標方向（sub）に向けたいbody座標系ベクトル（X）,
,VEC_TO_SUB_TARGET_BODY_Y,float,(float)(target_attitude_from_orbit->vec_to_sub_target_body[1]),PACKET,98,0,32,NONE,,,,,,,,目標方向（sub）に向けたいbody座標系ベクトル（Y）,
,VEC_TO_SUB_TARGET_BODY_Z,float,(float)(target_attitude_from_orbit->vec_to_sub_target_body[2]),PACKET,102,0,32,NONE,,,,,,,,目標方向（sub）に向けたいbody座標系ベクトル（Z）,
,TARGET_LATITUDE_deg,float,(float)(target_attitude_from_orbit->target_lla_rad_m[0]),PACKET,106,0,32,POLY,0,57.324,,,,,,目標地表点の緯度[deg],
,TARGET_LONGITUDE_deg,float,(float)(target_attitude_from_orbit->target_lla_rad_m[1]),PACKET,110,0,32,POLY,0,57.324,,,,,,目標地表点の経度[deg],
,TARGET_ALTITUDE_m,float,(float)(target_attitude_from_orbit->target_lla_rad_m[2]),PACKET,114,0,32,NONE,,,,,,,,目標地表点の高度[m],
,OFFSET_ANGLE_AXIS,uint8_t,(uint8_t)(target_attitude_from_orbit->offset_angle_axis),PACKET,118,0,8,NONE,,,,,,,0=+X@@ 1=+Y@@ 2=+Z,オフセット角を与える軸,
,OFFSET_ANGLE_deg,float,(float)(target_attitude_from_orbit->offset_angle_rad),PACKET,119,0,32,POLY,0,57.324,,,,,,オフセット角[deg],
,CURRENT_TARGET_NUM,uint8_t,(uint8_t)(quaternion_interpolator->current_target_num),PACKET,123,0,8,NONE,,,,,,,,現在の目標Quaternion数,
,CURRENT_TARGET_INDEX,uint8_t,(uint8_t)(quaternion_interpolator->index),PACKET,124,0,8,NONE,,,,,,,,現在の目標QuaternionのINDEX,
,PREVIOUS_ATTITUDE_CHANGED_TI,uint32_t,(uint32_t)(quaternion_interpolator->previous_attitude_changed_ti),PACKET,125,0,32,NONE,,,,,,,,前回の姿勢変更完了予定時刻,
,PREVIOUS_QUATERNION_TARGET_I2T_X,float,(float)(quaternion_interpolator->previous_quaternion_target_i2t.vector_part[0]),PACKET,129,0,32,NONE,,,,,,,,前回の目標Quaternion I2T X,
,PREVIOUS_QUATERNION_TARGET_I2T_Y,float,(float)(quaternion_interpolator->previous_quaternion_target_i2t.vector_part[1]),PACKET,133,0,32,NONE,,,,,,,,前回の目標Quaternion I2T Y,
