,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xb5,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,RM3100_AOBC_QUATERNION_C2B_VECTOR_0,float,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[0]),PACKET,26,0,32,NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第0成分,
,RM3100_AOBC_QUATERNION_C2B_VECTOR_1,float,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[1]),PACKET,30,0,32,NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第1成分,
,RM3100_AOBC_QUATERNION_C2B_VECTOR_2,float,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[2]),PACKET,34,0,32,NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第2成分,
,RM3100_AOBC_QUATERNION_C2B_SCALAR,float,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.scalar_part),PACKET,38,0,32,NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのスカラー部,
,RM3100_EXT_QUATERNION_C2B_VECTOR_0,float,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[0]),PACKET,42,0,32,NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第0成分,
,RM3100_EXT_QUATERNION_C2B_VECTOR_1,float,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[1]),PACKET,46,0,32,NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第1成分,
,RM3100_EXT_QUATERNION_C2B_VECTOR_2,float,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[2]),PACKET,50,0,32,NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第2成分,
,RM3100_EXT_QUATERNION_C2B_SCALAR,float,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.scalar_part),PACKET,54,0,32,NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのスカラー部,
,MPU9250_QUATERNION_C2B_VECTOR_0,float,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[0]),PACKET,58,0,32,NONE,,,,,,,,MPU9250座標変換Quaternion_c2bのベクトル部第0成分,
,MPU9250_QUATERNION_C2B_VECTOR_1,float,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[1]),PACKET,62,0,32,NONE,,,,,,,,MPU9250座標変換Quaternion_c2bのベクトル部第1成分,
,MPU9250_QUATERNION_C2B_VECTOR_2,float,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[2]),PACKET,66,0,32,NONE,,,,,,,,MPU9250座標変換Quaternion_c2bのベクトル部第2成分,
,MPU9250_QUATERNION_C2B_SCALAR,float,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.frame_transform_c2b.scalar_part),PACKET,70,0,32,NONE,,,,,,,,MPU9250座標変換Quaternion_c2bのスカラー部,
,STIM210_QUATERNION_C2B_VECTOR_0,float,(float)(stim210_driver[STIM210_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[0]),PACKET,74,0,32,NONE,,,,,,,,STIM210座標変換Quaternion_c2bのベクトル部第0成分,
,STIM210_QUATERNION_C2B_VECTOR_1,float,(float)(stim210_driver[STIM210_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[1]),PACKET,78,0,32,NONE,,,,,,,,STIM210座標変換Quaternion_c2bのベクトル部第1成分,
,STIM210_QUATERNION_C2B_VECTOR_2,float,(float)(stim210_driver[STIM210_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[2]),PACKET,82,0,32,NONE,,,,,,,,STIM210座標変換Quaternion_c2bのベクトル部第2成分,
,STIM210_QUATERNION_C2B_SCALAR,float,(float)(stim210_driver[STIM210_IDX_IN_UNIT]->info.frame_transform_c2b.scalar_part),PACKET,86,0,32,NONE,,,,,,,,STIM210座標変換Quaternion_c2bのスカラー部,
,SAGITTA_QUATERNION_C2B_VECTOR_0,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[0]),PACKET,90,0,32,NONE,,,,,,,,SAGITTA座標変換Quaternion_c2bのベクトル部第0成分,
,SAGITTA_QUATERNION_C2B_VECTOR_1,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[1]),PACKET,94,0,32,NONE,,,,,,,,SAGITTA座標変換Quaternion_c2bのベクトル部第1成分,
,SAGITTA_QUATERNION_C2B_VECTOR_2,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.frame_transform_c2b.vector_part[2]),PACKET,98,0,32,NONE,,,,,,,,SAGITTA座標変換Quaternion_c2bのベクトル部第2成分,
,SAGITTA_QUATERNION_C2B_SCALAR,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.frame_transform_c2b.scalar_part),PACKET,102,0,32,NONE,,,,,,,,SAGITTA座標変換Quaternion_c2bのスカラー部,
,NANOSSOC_D60_PY_QUATERNION_C2B_VECTOR_0,float,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.frame_transform_c2b.vector_part[0]),PACKET,106,0,32,NONE,,,,,,,,NANOSSOC_D60_PY座標変換Quaternion_c2bのベクトル部第0成分,
,NANOSSOC_D60_PY_QUATERNION_C2B_VECTOR_1,float,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.frame_transform_c2b.vector_part[1]),PACKET,110,0,32,NONE,,,,,,,,NANOSSOC_D60_PY座標変換Quaternion_c2bのベクトル部第1成分,
,NANOSSOC_D60_PY_QUATERNION_C2B_VECTOR_2,float,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.frame_transform_c2b.vector_part[2]),PACKET,114,0,32,NONE,,,,,,,,NANOSSOC_D60_PY座標変換Quaternion_c2bのベクトル部第2成分,
