,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x2c,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,METHOD,uint8_t,(uint8_t)(orbit_calculator->method),PACKET,26,0,8,STATUS,,,,,,,0=KEPLER@@ 1=SGP4@@ 2=KEPLER_GPSR@@ 3=EKF,軌道伝搬手法,
,KEPLER.SEMI_MAJOR_AXIS_km,float,(float)(kepler_orbit_propagator->orbital_elements.semi_major_axis_km),PACKET,27,0,32,NONE,,,,,,,,Kepler伝搬で使われている軌道長半径,
,KEPLER.ECCENTRICITY,float,(float)(kepler_orbit_propagator->orbital_elements.eccentricity),PACKET,31,0,32,NONE,,,,,,,,Kepler伝搬で使われている離心率,
,KEPLER.INCLINATION_rad,float,(float)(kepler_orbit_propagator->orbital_elements.inclination_rad),PACKET,35,0,32,NONE,,,,,,,,Kepler伝搬で使われている軌道傾斜角,
,KEPLER.RAAN_rad,float,(float)(kepler_orbit_propagator->orbital_elements.raan_rad),PACKET,39,0,32,NONE,,,,,,,,Kepler伝搬で使われている昇交点赤経,
,KEPLER.ARG_PERIGIEE_rad,float,(float)(kepler_orbit_propagator->orbital_elements.arg_perigee_rad),PACKET,43,0,32,NONE,,,,,,,,Kepler伝搬で使われている近地点引数,
,KEPLER.EPOCH_jday,double,(double)(kepler_orbit_propagator->orbital_elements.epoch_jday),PACKET,47,0,64,NONE,,,,,,,,Kepler伝搬で使われているエポック,
,KEPLER.CMD_SEMI_MAJOR_AXIS_km,float,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.semi_major_axis_km),PACKET,55,0,32,NONE,,,,,,,,CMD設定中の軌道長半径,
,KEPLER.CMD_ECCENTRICITY,float,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.eccentricity),PACKET,59,0,32,NONE,,,,,,,,CMD設定中の離心率,
,KEPLER.CMD_INCLINATION_rad,float,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.inclination_rad),PACKET,63,0,32,NONE,,,,,,,,CMD設定中の軌道傾斜角,
,KEPLER.CMD_RAAN_rad,float,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.raan_rad),PACKET,67,0,32,NONE,,,,,,,,CMD設定中の昇交点赤経,
