,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xb4,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,POW_INA260_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_INA260]),PACKET,26,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,INA260の電源状態,
,POW_MPU9250_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_MPU9250]),PACKET,27,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,MPU9250の電源状態,
,POW_RM3100_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_RM3100]),PACKET,28,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,RM3100の電源状態の電源状態,
,POW_NANOSSOC_D60_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_NANOSSOC_D60]),PACKET,29,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,nanoSSOC-D60の電源状態,
,POW_MTQ_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_MTQ_SEIREN]),PACKET,30,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,MTQの電源状態,
,POW_STIM210_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_STIM210]),PACKET,31,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,STIM210の電源状態,
,POW_SAGITTA_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_SAGITTA]),PACKET,32,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,Sagittaの電源状態,
,POW_OEM7600_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_OEM7600]),PACKET,33,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,OEM7600の電源状態,
,POW_RWX_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_RWX]),PACKET,34,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,RW Xの電源状態,
,POW_RWY_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_RWY]),PACKET,35,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,RW Yの電源状態,
,POW_RWZ_SWITCH_STATE,uint8_t,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_RWZ]),PACKET,36,0,8,STATUS,,,,,,,0=OFF@@ 1=ON,RW Zの電源状態,
,PIC_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_PIC]->info.current_raw),PACKET,37,0,16,POLY,0,1.25,,,,,,PIC電流値生値,
,PIC_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_PIC]->info.voltage_raw),PACKET,39,0,16,POLY,0,0.00125,,,,,,PIC電圧値生値,
,PIC_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_PIC]->info.oc_threshold_raw),PACKET,41,0,16,POLY,0,1.25,,,,,,PIC過電流検知閾値電流生値,
,PIC_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_PIC]),PACKET,43,0,16,NONE,,,,,,,,PIC過電流検知EL閾値電流,
,PIC_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_PIC]),PACKET,45,0,16,NONE,,,,,,,,PIC S/W過電流検知閾値電流,
,STIM_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_STIM210]->info.current_raw),PACKET,47,0,16,POLY,0,1.25,,,,,,STIM電流値生値,
,STIM_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_STIM210]->info.voltage_raw),PACKET,49,0,16,POLY,0,0.00125,,,,,,STIM電圧値生値,
,STIM_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_STIM210]->info.oc_threshold_raw),PACKET,51,0,16,POLY,0,1.25,,,,,,STIM過電流検知閾値電流生値,
,STIM_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_STIM210]),PACKET,53,0,16,NONE,,,,,,,,STIM過電流検知EL閾値電流,
,STIM_SW_OC_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_STIM210]),PACKET,55,0,16,NONE,,,,,,,,STIM S/W過電流検知閾値電流,
,STT_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_SAGITTA]->info.current_raw),PACKET,57,0,16,POLY,0,1.25,,,,,,STT電流値生値,
,STT_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_SAGITTA]->info.voltage_raw),PACKET,59,0,16,POLY,0,0.00125,,,,,,STT電圧値生値,
,STT_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_SAGITTA]->info.oc_threshold_raw),PACKET,61,0,16,POLY,0,1.25,,,,,,STT過電流検知閾値電流生値,
,STT_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_SAGITTA]),PACKET,63,0,16,NONE,,,,,,,,STT過電流検知EL閾値電流,
,STT_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_SAGITTA]),PACKET,65,0,16,NONE,,,,,,,,STT S/W過電流検知閾値電流,
,OEM_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_OEM7600]->info.current_raw),PACKET,67,0,16,POLY,0,1.25,,,,,,OEM電流値生値,
,OEM_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_OEM7600]->info.voltage_raw),PACKET,69,0,16,POLY,0,0.00125,,,,,,OEM電圧値生値,
,OEM_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_OEM7600]->info.oc_threshold_raw),PACKET,71,0,16,POLY,0,1.25,,,,,,OEM過電流検知閾値電流生値,
,OEM_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_OEM7600]),PACKET,73,0,16,NONE,,,,,,,,OEM過電流検知EL閾値電流,
,OEM_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_OEM7600]),PACKET,75,0,16,NONE,,,,,,,,OEM S/W過電流検知閾値電流,
,RM_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_RM3100]->info.current_raw),PACKET,77,0,16,POLY,0,1.25,,,,,,RM電流値生値,
,RM_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RM3100]->info.voltage_raw),PACKET,79,0,16,POLY,0,0.00125,,,,,,RM電圧値生値,
,RM_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RM3100]->info.oc_threshold_raw),PACKET,81,0,16,POLY,0,1.25,,,,,,RM過電流検知閾値電流生値,
,RM_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_RM3100]),PACKET,83,0,16,NONE,,,,,,,,RM過電流検知EL閾値電流,
,RM_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_RM3100]),PACKET,85,0,16,NONE,,,,,,,,RM S/W過電流検知閾値電流,
,SS_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_NANOSSOC_D60]->info.current_raw),PACKET,87,0,16,POLY,0,1.25,,,,,,SS電流値生値,
,SS_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_NANOSSOC_D60]->info.voltage_raw),PACKET,89,0,16,POLY,0,0.00125,,,,,,SS電圧値生値,
,SS_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_NANOSSOC_D60]->info.oc_threshold_raw),PACKET,91,0,16,POLY,0,1.25,,,,,,SS過電流検知閾値電流生値,
,SS_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_NANOSSOC_D60]),PACKET,93,0,16,NONE,,,,,,,,SS過電流検知EL閾値電流,
,SS_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_NANOSSOC_D60]),PACKET,95,0,16,NONE,,,,,,,,SS S/W過電流検知閾値電流,
,MTQ_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_MTQ]->info.current_raw),PACKET,97,0,16,POLY,0,1.25,,,,,,MTQ電流値生値,
,MTQ_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_MTQ]->info.voltage_raw),PACKET,99,0,16,POLY,0,0.00125,,,,,,MTQ電圧値生値,
,MTQ_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_MTQ]->info.oc_threshold_raw),PACKET,101,0,16,POLY,0,1.25,,,,,,MTQ過電流検知閾値電流生値,
,MTQ_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_MTQ]),PACKET,103,0,16,NONE,,,,,,,,MTQ過電流検知EL閾値電流,
,MTQ_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_MTQ]),PACKET,105,0,16,NONE,,,,,,,,MTQ S/W過電流検知閾値電流,
,RWX_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_RW0003_X]->info.current_raw),PACKET,107,0,16,POLY,0,1.25,,,,,,RWX電流値生値,
,RWX_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_X]->info.voltage_raw),PACKET,109,0,16,POLY,0,0.00125,,,,,,RWX電圧値生値,
,RWX_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_X]->info.oc_threshold_raw),PACKET,111,0,16,POLY,0,1.25,,,,,,RWX過電流検知閾値電流生値,
,RWX_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_RW0003_X]),PACKET,113,0,16,NONE,,,,,,,,RWX過電流検知EL閾値電流,
,RWX_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_RW0003_X]),PACKET,115,0,16,NONE,,,,,,,,RWX S/W過電流検知閾値電流,
,RWY_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_RW0003_Y]->info.current_raw),PACKET,117,0,16,POLY,0,1.25,,,,,,RWY電流値生値,
,RWY_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_Y]->info.voltage_raw),PACKET,119,0,16,POLY,0,0.00125,,,,,,RWY電圧値生値,
,RWY_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_Y]->info.oc_threshold_raw),PACKET,121,0,16,POLY,0,1.25,,,,,,RWY過電流検知閾値電流生値,
,RWY_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_RW0003_Y]),PACKET,123,0,16,NONE,,,,,,,,RWY過電流検知EL閾値電流,
,RWY_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_RW0003_Y]),PACKET,125,0,16,NONE,,,,,,,,RWY S/W過電流検知閾値電流,
,RWZ_CURRENT_MA,int16_t,(int16_t)(ina260_driver[INA260_IDX_RW0003_Z]->info.current_raw),PACKET,127,0,16,POLY,0,1.25,,,,,,RWZ電流値生値,
,RWZ_VOLTAGE_V,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_Z]->info.voltage_raw),PACKET,129,0,16,POLY,0,0.00125,,,,,,RWZ電圧値生値,
,RWZ_OC_THRE_MA,uint16_t,(uint16_t)(ina260_driver[INA260_IDX_RW0003_Z]->info.oc_threshold_raw),PACKET,131,0,16,POLY,0,1.25,,,,,,RWZ過電流検知閾値電流生値,
,RWZ_OC_EL_THRE_V,uint16_t,(uint16_t)(current_anomaly->hw_oc_event_logger_threshold_V[INA260_IDX_RW0003_Z]),PACKET,133,0,16,NONE,,,,,,,,RWZ過電流検知EL閾値電流,
,RWZ_SW_OC_THRE_MA,uint16_t,(uint16_t)(current_anomaly->sw_oc_threshold_mA[INA260_IDX_RW0003_Z]),PACKET,135,0,16,NONE,,,,,,,,RWZ S/W過電流検知閾値電流,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
