,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xba,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,TARGET10_TI,uint32_t,(uint32_t)(quaternion_interpolator->target_list[10].attitude_changed_ti),PACKET,26,0,32,NONE,,,,,,,,姿勢変更完了予定時刻,
,TARGET10_X,float,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[0]),PACKET,30,0,32,NONE,,,,,,,,目標Quaternion I2T X,
,TARGET10_Y,float,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[1]),PACKET,34,0,32,NONE,,,,,,,,目標Quaternion I2T Y,
,TARGET10_Z,float,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[2]),PACKET,38,0,32,NONE,,,,,,,,目標Quaternion I2T Z,
,TARGET10_W,float,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.scalar_part),PACKET,42,0,32,NONE,,,,,,,,目標Quaternion I2T W,
,TARGET11_TI,uint32_t,(uint32_t)(quaternion_interpolator->target_list[11].attitude_changed_ti),PACKET,46,0,32,NONE,,,,,,,,姿勢変更完了予定時刻,
,TARGET11_X,float,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[0]),PACKET,50,0,32,NONE,,,,,,,,目標Quaternion I2T X,
,TARGET11_Y,float,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[1]),PACKET,54,0,32,NONE,,,,,,,,目標Quaternion I2T Y,
,TARGET11_Z,float,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[2]),PACKET,58,0,32,NONE,,,,,,,,目標Quaternion I2T Z,
,TARGET11_W,float,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.scalar_part),PACKET,62,0,32,NONE,,,,,,,,目標Quaternion I2T W,
,TARGET12_TI,uint32_t,(uint32_t)(quaternion_interpolator->target_list[12].attitude_changed_ti),PACKET,66,0,32,NONE,,,,,,,,姿勢変更完了予定時刻,
