subsystem,name,bcid,type,option,ti,cmd,args,description,note
CDH,BC_TL_START_UP,20,,,,,,STARTUPモード,
,,,combine,,0,BC_AR_GS_RELATED_PROCESS,,,
,,,app,,8,AR_TLC_DISPATCHER_GS,,,
,,,combine,,10,BC_AC_TLM_CMD_HIRATE,,,
,,,rotate,,30,BC_AR_DRIVERS_UPDATE_INI,,,
,,,app,,40,AR_EVENT_UTILITY,,,
,,,rotate,,95,BC_AR_DEBUG_DISPLAY_INI,,,
CDH,BC_TL_INITIAL,21,,,,,,INITIALモード,
,,,combine,,0,BC_AR_GS_RELATED_PROCESS,,,
,,,app,,8,AR_TLC_DISPATCHER_GS,,,
,,,combine,,10,BC_AC_TLM_CMD_HIRATE,,,
,,,rotate,,30,BC_AR_DRIVERS_UPDATE_INI,,,
,,,app,,40,AR_EVENT_UTILITY,,,
,,,rotate,,95,BC_AR_DEBUG_DISPLAY_INI,,,
