subsystem,name,bcid,type,option,ti,cmd,args,description,note
FF,BC_AR_DRIVERS_UPDATE_INI,40,,,,,,,
,,,app,,0,AR_NOP,,,
FF,BC_AR_DEBUG_DISPLAY_INI,41,,,,,,,
,,,app,,0,AR_APP_DBG_PRINT_GIT_REV,,,
,,,app,,1,AR_APP_DBG_PRINT_TIMESTAMP,,,
,,,app,,2,AR_APP_DBG_PRINT_CMD_STATUS,,,
,,,app,,3,AR_APP_DBG_PRINT_EVENT_LOGGER0,,,
,,,app,,4,AR_APP_DBG_PRINT_EVENT_LOGGER1,,,
,,,app,,5,AR_APP_DBG_PRINT_EVENT_HANDLER,,,
,,,app,,6,AR_NOP,,,
,,,app,,7,AR_NOP,,,
,,,app,,8,AR_NOP,,,
,,,app,,9,AR_APP_DBG_FLUSH_SCREEN,,,
FF,BC_AR_GS_RELATED_PROCESS,42,,,,,,,
,,,app,,0,AR_CSRV_MOBC_CMD_PH,,,
,,,app,,1,AR_GSC_DISPATCHER,,,
FF,BC_AC_TLM_CMD_HIRATE,43,,,,,,,
,,,app,,0,AR_RTC_DISPATCHER,,,
,,,app,,1,AR_TLC_DISPATCHER_BC,,,
,,,app,,2,AR_TLC_DISPATCHER_TLM,,,
,,,app,,3,AR_CSRV_MOBC_RT_TLM_PH,,,
