enabled,subsystem,target,name,danger,param1_type,param1_description,param2_type,param2_description,param3_type,param3_description,param4_type,param4_description,param5_type,param5_description,param6_type,param6_description,description,note
TRUE,CDH,OBC,NOP,,,,,,,,,,,,,,ダミーコマンド,
TRUE,CDH,OBC,TMGR_SET_TIME,,uint32_t,TI,,,,,,,,,,,MOBC時刻設定コマンド,
TRUE,CDH,OBC,TMGR_UPDATE_UNIXTIME,,double,unixtime,uint32_t,total_cycle,uint32_t,step,,,,,,,MOBC UNIXTIME修正コマンド,
TRUE,CDH,OBC,TMGR_SET_UTL_UNIXTIME_EPOCH,,double,ult_unixtime_epoch,,,,,,,,,,,UTL_cmdで用いるunixtimeの紀元を変更する,utl_unixtime_epoch [s]
TRUE,CDH,OBC,TMGR_SET_CYCLE_CORRECTION,,double,cycle_correction,,,,,,,,,,,CYCLES_PER_SECの補正倍率を変更する@@ 初期値は1.0,
TRUE,CDH,OBC,TMGR_RESET_CYCLE_CORRECTION,,,,,,,,,,,,,,CYCLES_PER_SECの補正倍率を1.0に初期化する,
TRUE,CDH,OBC,TMGR_CLEAR_UNIXTIME_INFO,,,,,,,,,,,,,,unixtime_info_ を初期化する,
TRUE,CDH,OBC,AM_REGISTER_APP,,uint32_t,app_id,uint32_t,init_ptr,uint32_t,entry_ptr,,,,,,,アプリ登録コマンド,
TRUE,CDH,OBC,AM_INITIALIZE_APP,,uint32_t,app_id,,,,,,,,,,,アプリ初期化コマンド,
TRUE,CDH,OBC,AM_EXECUTE_APP,,uint32_t,app_id,,,,,,,,,,,アプリ実行コマンド,
TRUE,CDH,OBC,AM_SET_PAGE_FOR_TLM,,uint8_t,,,,,,,,,,,,テレメトリ生成用ページ番号設定,
TRUE,CDH,OBC,AM_CLEAR_APP_INFO,TRUE,,,,,,,,,,,,,アプリ実行時間計測の初期化,
TRUE,CDH,OBC,MM_SET_MODE_LIST,,uint8_t,mode,uint16_t,bc_index,,,,,,,,,モード定義リスト設定コマンド,
TRUE,CDH,OBC,MM_SET_TRANSITION_TABLE,,uint8_t,from_mode,uint8_t,to_mode,uint16_t,bc_index,,,,,,,モード遷移定義テーブル書き換えコマンド,
TRUE,CDH,OBC,MM_START_TRANSITION,,uint8_t,to_mode,,,,,,,,,,,モード遷移開始コマンド,
TRUE,CDH,OBC,MM_FINISH_TRANSITION,,,,,,,,,,,,,,モード遷移終了通知コマンド,
TRUE,CDH,OBC,MM_UPDATE_TRANSITION_TABLE_FOR_TLM,,,,,,,,,,,,,,モードのTLMテーブル情報更新,
TRUE,CDH,OBC,TDSP_SET_TASK_LIST,,uint8_t,bc_index,,,,,,,,,,,タスクリスト設定コマンド,
TRUE,CDH,OBC,TLCD_CLEAR_ALL_TIMELINE,TRUE,uint8_t,TLCD_ID,,,,,,,,,,,全TLC登録解除,
TRUE,CDH,OBC,TLCD_CLEAR_TIMELINE_AT,,uint8_t,TLCD_ID,uint32_t,TI,,,,,,,,,TI指定TLC登録解除,
TRUE,CDH,OBC,TLCD_DEPLOY_BLOCK,,uint8_t,TLCD_ID,uint16_t,bc_index,,,,,,,,,BLC展開 ,
TRUE,CDH,OBC,TLCD_CLEAR_ERR_LOG,,uint8_t,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
TRUE,CDH,OBC,TLCD_SET_SOE_FLAG,,uint8_t,TLCD_ID,uint8_t,,,,,,,,,,異常時実行停止機能設定(ライン番号@@ フラグ),
TRUE,CDH,OBC,TLCD_SET_LOUT_FLAG,,uint8_t,TLCD_ID,uint8_t,,,,,,,,,,実行停止機能設定(ライン番号@@ フラグ),
TRUE,CDH,OBC,TLCD_SET_ID_FOR_TLM,,uint8_t,TLCD_ID,,,,,,,,,,,テレメで降ろすTL_IDの設定とTLテレメの更新,
TRUE,CDH,OBC,TLCD_SET_PAGE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,テレメトリ生成用ページ番号設定,
TRUE,CDH,OBC,CDIS_MGR_SET_IDX_FOR_TLM,,uint8_t,idx_for_tlm,,,,,,,,,,,テレメで降ろす CDIS の idx,
TRUE,CDH,OBC,GENERATE_TLM,,uint8_t,category,uint8_t,TLM_ID,uint8_t,送出回数,,,,,,,TLMパケット生成 (deprecated),
TRUE,CDH,OBC,TG_GENERATE_TLM,,uint8_t,tlm id,uint8_t,dest flags,uint8_t,dest info,uint8_t,送出回数,,,,,自身の OBC のテレメを生成,
TRUE,CDH,OBC,TG_GENERATE_HP_TLM,,uint8_t,tlm id,,,,,,,,,,,HP テレメを生成 (事実上，現在使われていない）,
TRUE,CDH,OBC,TG_GENERATE_RT_TLM,,uint8_t,tlm id,,,,,,,,,,,RT テレメを生成,
TRUE,CDH,OBC,TG_GENERATE_ST_TLM,,uint8_t,tlm id,uint8_t,dr partition (dest info),,,,,,,,,ST テレメを生成,
TRUE,CDH,OBC,TG_FORWARD_TLM,,uint16_t,apid,uint8_t,tlm id,uint8_t,dest flags,uint8_t,dest info,uint8_t,送出回数,,,sub OBC のテレメを転送,
TRUE,CDH,OBC,TG_FORWARD_AS_HP_TLM,,uint16_t,apid,uint8_t,tlm id,,,,,,,,,HP テレメとして sub OBC のテレメを転送 (事実上，現在使われていない）,
TRUE,CDH,OBC,TG_FORWARD_AS_RT_TLM,,uint16_t,apid,uint8_t,tlm id,,,,,,,,,RT テレメとして sub OBC のテレメを転送,
