FALSE,3,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,APP0_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].init_duration),NONE,,,,,,,,,,
,APP0_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].prev),NONE,,,,,,,,,,
,APP0_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].min),NONE,,,,,,,,,,
,APP0_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].max),NONE,,,,,,,,,,
,APP1_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].init_duration),NONE,,,,,,,,,,
,APP1_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].prev),NONE,,,,,,,,,,
,APP1_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].min),NONE,,,,,,,,,,
,APP1_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].max),NONE,,,,,,,,,,
,APP2_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].init_duration),NONE,,,,,,,,,,
,APP2_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].prev),NONE,,,,,,,,,,
,APP2_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].min),NONE,,,,,,,,,,
,APP2_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].max),NONE,,,,,,,,,,
,APP3_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].init_duration),NONE,,,,,,,,,,
,APP3_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].prev),NONE,,,,,,,,,,
,APP3_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].min),NONE,,,,,,,,,,
,APP3_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].max),NONE,,,,,,,,,,
,APP4_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].init_duration),NONE,,,,,,,,,,
,APP4_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].prev),NONE,,,,,,,,,,
,APP4_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].min),NONE,,,,,,,,,,
