FALSE,4,OBC,"const bct_id_t block = block_command_table->pos.block;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,BLOCK_NO,uint16_t,,block,NONE,,,,,,,,テレメトリを生成したブロック番号,,
,CMD_POS,uint8_t,,block_command_table->pos.cmd,NONE,,,,,,,,,,
,BLOCK_LENGTH,uint8_t,,BCT_get_bc_length(block),NONE,,,,,,,,,,
,ROTATE_NEXT_CMD,uint8_t,,BCE_get_bc_exe_params(block)->rotate.next_cmd,NONE,,,,,,,,,,
,ROTATE_COUNTER,uint16_t,,BCE_get_bc_exe_params(block)->rotate.counter,NONE,,,,,,,,,,
,ROTATE_INTERVAL,uint16_t,,BCE_get_bc_exe_params(block)->rotate.interval,NONE,,,,,,,,,,
,TLCB_CALL_NUM,uint16_t,,BCE_get_bc_exe_params(block)->timelimit_combine.call_num,NONE,,,,,,,,,,
,TLCB_TIMEOVER_NUM,uint16_t,,BCE_get_bc_exe_params(block)->timelimit_combine.timeover_num,NONE,,,,,,,,,,
,TLCB_LAST_TIMEOVER_POS,uint8_t,,BCE_get_bc_exe_params(block)->timelimit_combine.last_timeover_cmd_pos,NONE,,,,,,,,,,
,TLCB_WORST_POS,uint8_t,,BCE_get_bc_exe_params(block)->timelimit_combine.worst_cmd_pos,NONE,,,,,,,,,,
,IS_ACTIVE,uint8_t,,BCE_get_bc_exe_params(block)->is_active,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,CMD0_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 0)",HEX,,,,,,,,,,
,CMD0_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 0)",NONE,,,,,,,,,,
,CMD0_PARAM0,uint8_t,,"BCT_get_param_head(block, 0)[0]",HEX,,,,,,,,,,
,CMD0_PARAM1,uint8_t,,"BCT_get_param_head(block, 0)[1]",HEX,,,,,,,,,,
,CMD0_PARAM2,uint8_t,,"BCT_get_param_head(block, 0)[2]",HEX,,,,,,,,,,
,CMD0_PARAM3,uint8_t,,"BCT_get_param_head(block, 0)[3]",HEX,,,,,,,,,,
,CMD0_PARAM4,uint8_t,,"BCT_get_param_head(block, 0)[4]",HEX,,,,,,,,,,
,CMD0_PARAM5,uint8_t,,"BCT_get_param_head(block, 0)[5]",HEX,,,,,,,,,,
,CMD1_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 1)",HEX,,,,,,,,,,
,CMD1_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 1)",NONE,,,,,,,,,,
,CMD1_PARAM0,uint8_t,,"BCT_get_param_head(block, 1)[0]",HEX,,,,,,,,,,
,CMD1_PARAM1,uint8_t,,"BCT_get_param_head(block, 1)[1]",HEX,,,,,,,,,,
,CMD1_PARAM2,uint8_t,,"BCT_get_param_head(block, 1)[2]",HEX,,,,,,,,,,
,CMD1_PARAM3,uint8_t,,"BCT_get_param_head(block, 1)[3]",HEX,,,,,,,,,,
,CMD1_PARAM4,uint8_t,,"BCT_get_param_head(block, 1)[4]",HEX,,,,,,,,,,
,CMD1_PARAM5,uint8_t,,"BCT_get_param_head(block, 1)[5]",HEX,,,,,,,,,,
,CMD2_ID,uint16_t,,"(uint16_t)BCT_get_id(block, 2)",HEX,,,,,,,,,,
,CMD2_TI,uint32_t,,"(uint32_t)BCT_get_ti(block, 2)",NONE,,,,,,,,,,
,CMD2_PARAM0,uint8_t,,"BCT_get_param_head(block, 2)[0]",HEX,,,,,,,,,,
,CMD2_PARAM1,uint8_t,,"BCT_get_param_head(block, 2)[1]",HEX,,,,,,,,,,
,CMD2_PARAM2,uint8_t,,"BCT_get_param_head(block, 2)[2]",HEX,,,,,,,,,,
,CMD2_PARAM3,uint8_t,,"BCT_get_param_head(block, 2)[3]",HEX,,,,,,,,,,
,CMD2_PARAM4,uint8_t,,"BCT_get_param_head(block, 2)[4]",HEX,,,,,,,,,,
