FALSE,5,OBC,"int offset = CA_TLM_PAGE_SIZE * (command_analyze->tlm_page_no);
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,PAGE_NO,uint8_t,,(uint8_t)(command_analyze->tlm_page_no),NONE,,,,,,,,,,
,CMD0.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+0].cmd_func),HEX,,,,,,,,,,
,CMD0.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD0.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD0.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD0.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD0.PARAM4_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+0].param_size_infos[2].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+0].param_size_infos[2].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD0.PARAM5_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD1.FUNC,uint32_t,,(uint32_t)(command_analyze->cmd_table[offset+1].cmd_func),HEX,,,,,,,,,,
,CMD1.PARAM0_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+1].param_size_infos[0].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+1].param_size_infos[0].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD1.PARAM1_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD1.PARAM2_SIZE,_uint8_t,4,(uint8_t)(((command_analyze->cmd_table[offset+1].param_size_infos[1].packed_info.bit.first & 0x0f) << 4) | (command_analyze->cmd_table[offset+1].param_size_infos[1].packed_info.bit.second & 0x0f)),STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
,CMD1.PARAM3_SIZE,,4,,STATUS,,,,,,,"0=NONE,1=1BYTE,2=2BYTE,3=4BYTE,4=8BYTE,15=RAW,*=N/A",,,
