FALSE,6,OBC,const CommandDispatcher* cdis = command_dispatcher_manager->cdises[command_dispatcher_manager->idx_for_tlm];,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,CDIS_MGR.NUM_OF_CDIS,uint8_t,,command_dispatcher_manager->num_of_cdis,NONE,,,,,,,,,,
,CDIS_MGR.IDX_FOR_TLM,uint8_t,,command_dispatcher_manager->idx_for_tlm,NONE,,,,,,,,,,
,CDIS.IDX,uint8_t,,cdis->idx,NONE,,,,,,,,,,
,CDIS.ADR,uint32_t,,(uint32_t)cdis,HEX,,,,,,,,,,
,CDIS.PREV.TIME.TOTAL_CYCLE,uint32_t,,cdis->prev.time.total_cycle,NONE,,,,,,,,,,
,CDIS.PREV.TIME.MODE_CYCLE,uint32_t,,cdis->prev.time.mode_cycle,NONE,,,,,,,,,,
,CDIS.PREV.TIME.STEP,uint32_t,,cdis->prev.time.step,NONE,,,,,,,,,,
,CDIS.PREV.CODE,uint16_t,,(uint16_t)cdis->prev.code,NONE,,,,,,,,,,
,CDIS.PREV.CMD_RET.EXEC_STS,uint8_t,,(uint8_t)cdis->prev.cmd_ret.exec_sts,STATUS,,,,,,,"0=SUC, 1=LEN, 2=PRM, 3=CNT, 4=NDF, 5=RUT, 6=FMT, *=ERR",,,
,CDIS.PREV.CMD_RET.ERR_CODE,uint32_t,,cdis->prev.cmd_ret.err_code,NONE,,,,,,,,,,
,CDIS.PREV_ERR.TIME.TOTAL_CYCLE,uint32_t,,cdis->prev_err.time.total_cycle,NONE,,,,,,,,,,
,CDIS.PREV_ERR.TIME.MODE_CYCLE,uint32_t,,cdis->prev_err.time.mode_cycle,NONE,,,,,,,,,,
,CDIS.PREV_ERR.TIME.STEP,uint32_t,,cdis->prev_err.time.step,NONE,,,,,,,,,,
,CDIS.PREV_ERR.CODE,uint16_t,,(uint16_t)cdis->prev_err.code,NONE,,,,,,,,,,
,CDIS.PREV_ERR.CMD_RET.EXEC_STS,uint8_t,,(uint8_t)cdis->prev_err.cmd_ret.exec_sts,STATUS,,,,,,,"0=SUC, 1=LEN, 2=PRM, 3=CNT, 4=NDF, 5=RUT, 6=FMT, *=ERR",,,
,CDIS.PREV_ERR.CMD_RET.ERR_CODE,uint32_t,,cdis->prev_err.cmd_ret.err_code,NONE,,,,,,,,,,
,CDIS.ERROR_COUNTER,uint32_t,,cdis->error_counter,NONE,,,,,,,,,,
,CDIS.LOCKOUT,int32_t,,cdis->lockout,NONE,,,,,,,,,,
,CDIS.STOP_ON_ERROR,int32_t,,cdis->stop_on_error,NONE,,,,,,,,,,
,CDIS.PL.ADR,uint32_t,,(uint32_t)cdis->pl,HEX,,,,,,,,,,
,CDIS.PL.TOTAL_NODES,uint16_t,,cdis->pl->total_nodes_,NONE,,,,,,,,,,
,CDIS.PL.EXECUTED_NODES,uint32_t,,cdis->pl->executed_nodes_,NONE,,,,,,,,,,
,CDIS.PL.ACTIVE_NODES,uint16_t,,cdis->pl->active_nodes_,NONE,,,,,,,,,,
,CDIS.PL.PACKET_SIZE,uint16_t,,cdis->pl->packet_size_,NONE,,,,,,,,,,
,CDIS.PL.PACKET_TYPE,uint8_t,,(uint8_t)cdis->pl->packet_type_,STATUS,,,,,,,"0=CTCP, 1=CTP, 2=CCP, 3=OTHER, *=ERR",,,
,CDIS.PL.PL_NODE_STOCK,uint32_t,,(uint32_t)cdis->pl->pl_node_stock_,HEX,,,,,,,,,,
,CDIS.PL.PACKET_STOCK,uint32_t,,(uint32_t)cdis->pl->packet_stock_,HEX,,,,,,,,,,
,CDIS.PL.INACTIVE_LIST_HEAD,uint32_t,,(uint32_t)cdis->pl->inactive_list_head_,HEX,,,,,,,,,,
,CDIS.PL.ACTIVE_LIST_HEAD,uint32_t,,(uint32_t)cdis->pl->active_list_head_,HEX,,,,,,,,,,
,CDIS.PL.ACTIVE_LIST_TAIL,uint32_t,,(uint32_t)cdis->pl->active_list_tail_,HEX,,,,,,,,,,
,PL.COUNTER,uint32_t,,PL_count_executed_nodes(cdis->pl),NONE,,,,,,,,,,
,PL.QUEUED,uint16_t,,PL_count_active_nodes(cdis->pl),NONE,,,,,,,,,,
,PL.NEXT_TIME,uint32_t,,(PL_is_empty(cdis->pl)) ? 0 : CCP_get_ti((const CommonCmdPacket*)(PL_get_head(cdis->pl))->packet),NONE,,,,,,,,,,
,PL.NEXT_ID,uint32_t,,(PL_is_empty(cdis->pl)) ? 0 : CCP_get_id((const CommonCmdPacket*)(PL_get_head(cdis->pl))->packet),NONE,,,,,,,,,,
