FALSE,14,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,CORE0,uint8_t,,(uint8_t)GIT_REV_CORE[0],HEX,,,,,,,,,,
,CORE1,uint8_t,,(uint8_t)GIT_REV_CORE[1],HEX,,,,,,,,,,
,CORE2,uint8_t,,(uint8_t)GIT_REV_CORE[2],HEX,,,,,,,,,,
,CORE3,uint8_t,,(uint8_t)GIT_REV_CORE[3],HEX,,,,,,,,,,
,CORE4,uint8_t,,(uint8_t)GIT_REV_CORE[4],HEX,,,,,,,,,,
,CORE5,uint8_t,,(uint8_t)GIT_REV_CORE[5],HEX,,,,,,,,,,
,CORE6,uint8_t,,(uint8_t)GIT_REV_CORE[6],HEX,,,,,,,,,,
,CORE7,uint8_t,,(uint8_t)GIT_REV_CORE[7],HEX,,,,,,,,,,
,CORE8,uint8_t,,(uint8_t)GIT_REV_CORE[8],HEX,,,,,,,,,,
,CORE9,uint8_t,,(uint8_t)GIT_REV_CORE[9],HEX,,,,,,,,,,
,CORE10,uint8_t,,(uint8_t)GIT_REV_CORE[10],HEX,,,,,,,,,,
,CORE11,uint8_t,,(uint8_t)GIT_REV_CORE[11],HEX,,,,,,,,,,
,CORE12,uint8_t,,(uint8_t)GIT_REV_CORE[12],HEX,,,,,,,,,,
,CORE13,uint8_t,,(uint8_t)GIT_REV_CORE[13],HEX,,,,,,,,,,
,CORE14,uint8_t,,(uint8_t)GIT_REV_CORE[14],HEX,,,,,,,,,,
,CORE15,uint8_t,,(uint8_t)GIT_REV_CORE[15],HEX,,,,,,,,,,
,CORE16,uint8_t,,(uint8_t)GIT_REV_CORE[16],HEX,,,,,,,,,,
,CORE17,uint8_t,,(uint8_t)GIT_REV_CORE[17],HEX,,,,,,,,,,
,CORE18,uint8_t,,(uint8_t)GIT_REV_CORE[18],HEX,,,,,,,,,,
,CORE19,uint8_t,,(uint8_t)GIT_REV_CORE[19],HEX,,,,,,,,,,
,CORE20,uint8_t,,(uint8_t)GIT_REV_CORE[20],HEX,,,,,,,,,,
,CORE21,uint8_t,,(uint8_t)GIT_REV_CORE[21],HEX,,,,,,,,,,
,CORE22,uint8_t,,(uint8_t)GIT_REV_CORE[22],HEX,,,,,,,,,,
,CORE23,uint8_t,,(uint8_t)GIT_REV_CORE[23],HEX,,,,,,,,,,
