,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xc2,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Ext.##Type,Pos. Desiginator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,TEMPERATURE.THRESHOLD.PIC_UPPER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_PIC].upper_degC,PACKET,26,0,32,NONE,,,,,,,,PIC温度上限,
,TEMPERATURE.THRESHOLD.PIC_LOWER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_PIC].lower_degC,PACKET,30,0,32,NONE,,,,,,,,PIC温度下限,
,TEMPERATURE.THRESHOLD.RW_DCDC_UPPER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_RW_DCDC].upper_degC,PACKET,34,0,32,NONE,,,,,,,,RW_DCDC温度上限,
,TEMPERATURE.THRESHOLD.RW_DCDC_LOWER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_RW_DCDC].lower_degC,PACKET,38,0,32,NONE,,,,,,,,RW_DCDC温度下限,
,TEMPERATURE.THRESHOLD.ROUGH_GYRO_UPPER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_ROUGH_GYRO].upper_degC,PACKET,42,0,32,NONE,,,,,,,,ROUGH_GYRO温度上限,
,TEMPERATURE.THRESHOLD.ROUGH_GYRO_LOWER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_ROUGH_GYRO].lower_degC,PACKET,46,0,32,NONE,,,,,,,,ROUGH_GYRO温度下限,
,TEMPERATURE.THRESHOLD.FINE_GYRO_X_UPPER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_X].upper_degC,PACKET,50,0,32,NONE,,,,,,,,FINE_GYRO_X温度上限,
,TEMPERATURE.THRESHOLD.FINE_GYRO_X_LOWER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_X].lower_degC,PACKET,54,0,32,NONE,,,,,,,,FINE_GYRO_X温度下限,
,TEMPERATURE.THRESHOLD.FINE_GYRO_Y_UPPER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_Y].upper_degC,PACKET,58,0,32,NONE,,,,,,,,FINE_GYRO_Y温度上限,
,TEMPERATURE.THRESHOLD.FINE_GYRO_Y_LOWER_DEGC,float,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_Y].lower_degC,PACKET,62,0,32,NONE,,,,,,,,FINE_GYRO_Y温度下限,
