,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xc1,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,RW0003.SPIKE_CONFIG_X_CNT_LMT_ACCEPT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[0].count_limit_to_accept),PACKET,26,0,8,NONE,,,,,,,,RW0003_Xスパイク値を真値として受け入れるまでのカウント数,
,RW0003.SPIKE_CONFIG_X_CNT_LMT_REJECT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[0].count_limit_to_reject_continued_warning),PACKET,27,0,8,NONE,,,,,,,,RW0003_X連続して入力値を除外した回数のカウント上限値,
,RW0003.SPIKE_CONFIG_X_REJECT_THRESHOLD,float,(float)(rw0003_filter->spike_filter_config[0].reject_threshold),PACKET,28,0,32,NONE,,,,,,,,RW0003_Xスパイク値判定に用いる閾値,
,RW0003.SPIKE_CONFIG_X_LMT_ACCEPT_AS_STEP,float,(float)(rw0003_filter->spike_filter_config[0].amplitude_limit_to_accept_as_step),PACKET,32,0,32,NONE,,,,,,,,RW0003_Xステップ変化として値を受けれる判定のための許容値,
,RW0003.SPIKE_ERROR_X,uint8_t,(uint8_t)(rw0003_filter->filter_error[0]),PACKET,36,0,8,NONE,,,,,,,,RW0003_Xスパイクフィルタエラー,
,RW0003.SPIKE_CONFIG_Y_CNT_LMT_ACCEPT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[1].count_limit_to_accept),PACKET,37,0,8,NONE,,,,,,,,RW0003_Yスパイク値を真値として受け入れるまでのカウント数,
,RW0003.SPIKE_CONFIG_Y_CNT_LMT_REJECT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[1].count_limit_to_reject_continued_warning),PACKET,38,0,8,NONE,,,,,,,,RW0003_Y連続して入力値を除外した回数のカウント上限値,
,RW0003.SPIKE_CONFIG_Y_REJECT_THRESHOLD,float,(float)(rw0003_filter->spike_filter_config[1].reject_threshold),PACKET,39,0,32,NONE,,,,,,,,RW0003_Yスパイク値判定に用いる閾値,
,RW0003.SPIKE_CONFIG_Y_LMT_ACCEPT_AS_STEP,float,(float)(rw0003_filter->spike_filter_config[1].amplitude_limit_to_accept_as_step),PACKET,43,0,32,NONE,,,,,,,,RW0003_Yステップ変化として値を受けれる判定のための許容値,
,RW0003.SPIKE_ERROR_Y,uint8_t,(uint8_t)(rw0003_filter->filter_error[1]),PACKET,47,0,8,NONE,,,,,,,,RW0003_Yスパイクフィルタエラー,
,RW0003.SPIKE_CONFIG_Z_CNT_LMT_ACCEPT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[2].count_limit_to_accept),PACKET,48,0,8,NONE,,,,,,,,RW0003_Zスパイク値を真値として受け入れるまでのカウント数,
,RW0003.SPIKE_CONFIG_Z_CNT_LMT_REJECT,uint8_t,(uint8_t)(rw0003_filter->spike_filter_config[2].count_limit_to_reject_continued_warning),PACKET,49,0,8,NONE,,,,,,,,RW0003_Z連続して入力値を除外した回数のカウント上限値,
,RW0003.SPIKE_CONFIG_Z_REJECT_THRESHOLD,float,(float)(rw0003_filter->spike_filter_config[2].reject_threshold),PACKET,50,0,32,NONE,,,,,,,,RW0003_Zスパイク値判定に用いる閾値,
,RW0003.SPIKE_CONFIG_Z_LMT_ACCEPT_AS_STEP,float,(float)(rw0003_filter->spike_filter_config[2].amplitude_limit_to_accept_as_step),PACKET,54,0,32,NONE,,,,,,,,RW0003_Zステップ変化として値を受けれる判定のための許容値,
,RW0003.SPIKE_ERROR_Z,uint8_t,(uint8_t)(rw0003_filter->filter_error[2]),PACKET,58,0,8,NONE,,,,,,,,RW0003_Zスパイクフィルタエラー,
,OEM7600.SPIKE_CONFIG_POS_X_CNT_LMT_ACCEPT,uint8_t,(uint8_t)(oem7600_filter->position_spike_filter_config[0].count_limit_to_accept),PACKET,59,0,8,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_POS_X_CNT_LMT_REJECT,uint8_t,(uint8_t)(oem7600_filter->position_spike_filter_config[0].count_limit_to_reject_continued_warning),PACKET,60,0,8,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_POS_X_REJECT_THRESHOLD,float,(float)(oem7600_filter->position_spike_filter_config[0].reject_threshold),PACKET,61,0,32,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_POS_X_LMT_ACCEPT_AS_STEP,float,(float)(oem7600_filter->position_spike_filter_config[0].amplitude_limit_to_accept_as_step),PACKET,65,0,32,NONE,,,,,,,,,
,OEM7600.SPIKE_ERROR_POS_X,uint8_t,(uint8_t)(oem7600_filter->position_filter_error[0]),PACKET,69,0,8,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_VEL_X_CNT_LMT_ACCEPT,uint8_t,(uint8_t)(oem7600_filter->velocity_spike_filter_config[0].count_limit_to_accept),PACKET,70,0,8,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_VEL_X_CNT_LMT_REJECT,uint8_t,(uint8_t)(oem7600_filter->velocity_spike_filter_config[0].count_limit_to_reject_continued_warning),PACKET,71,0,8,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_VEL_X_REJECT_THRESHOLD,float,(float)(oem7600_filter->velocity_spike_filter_config[0].reject_threshold),PACKET,72,0,32,NONE,,,,,,,,,
,OEM7600.SPIKE_CONFIG_VEL_X_LMT_ACCEPT_AS_STEP,float,(float)(oem7600_filter->velocity_spike_filter_config[0].amplitude_limit_to_accept_as_step),PACKET,76,0,32,NONE,,,,,,,,,
