,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xb0,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DR_PARTITION,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,OBC.TM_MODE_TIME,uint32_t,(uint32_t)(TMGR_get_master_clock().mode_cycle),PACKET,26,0,32,NONE,,,,,,,,,
,OBC.MM.OPSMODE,uint8_t,(uint8_t)(mode_manager->current_id),PACKET,30,0,8,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=Bdot@@3=RoughSunPointing@@4=RoughThreeAxisMtq@@5=RoughThreeAxisRw@@6=FineThreeAxis@@7=Reserved@@8=MAX@@*=N/A,,
,OBC.MM.STS,uint8_t,(uint8_t)( ((uint8_t)(mode_manager->stat) << 7 & 0x80) | ((uint8_t)(mode_manager->previous_id) & 0x7F) ),PACKET,31,0,1,STATUS,,,,,,,0=FINISHED@@1=PROGRESS:G@@*=N/A,,
,OBC.MM.OPSMODE_PREV,,,PACKET,31,1,7,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=Bdot@@3=RoughSunPointing@@4=RoughThreeAxisMtq@@5=RoughThreeAxisRw@@6=FineThreeAxis@@7=Reserved@@8=MAX@@*=N/A,,
,OBC.TDSP_CURRENT_ID,uint16_t,task_dispathcer->task_list_id,PACKET,32,0,16,NONE,,,,,,,,,
,OBC.GS_CMD.COUNTER,uint8_t,(uint8_t)(PH_gs_cmd_list.executed_nodes_),PACKET,34,0,8,NONE,,,,,,,,地上局コマンドカウンタ,
,OBC.GS_CMD.LAST_EXEC_TIME,uint32_t,(uint32_t)gs_command_dispatcher->prev.time.total_cycle,PACKET,35,0,32,NONE,,,,,,,,最新地上局コマンド実行時刻,
,OBC.GS_CMD.LAST_EXEC_ID,uint16_t,(uint16_t)(gs_command_dispatcher->prev.code),PACKET,39,0,16,NONE,,,,,,,,最新地上局コマンドID,
,OBC.GS_CMD.LAST_EXEC_STS,uint8_t,(uint8_t)(gs_command_dispatcher->prev.cmd_ret.exec_sts),PACKET,41,0,8,STATUS,,,,,,,0=SUC@@ 1=LEN@@ 2=PRM@@ 3=CNT@@ 4=NDF@@ 5=RUT@@ 6=FMT,最新地上局コマンド実行結果,
