,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xbb,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DR_PARTITION,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,ERROR_STATUS,uint8_t,(uint8_t)(non_volatile_memory_manager->error_status),PACKET,26,0,8,STATUS,,,,,,,0=OK@@ 1=NG_ADDRESS@@ 2=NG_LENGTH@@ 3=NG_READ@@ 4=NG_WRITE@@ 5=NG_OTHERS,不揮発メモリエラーステータス,
,WRITE.START_ADDRESS,uint32_t,(uint32_t)(non_volatile_memory_manager->write_info.start_address),PACKET,27,0,32,NONE,,,,,,,,不揮発メモリ書き込み先頭アドレス,
,WRITE.DATA_SIZE,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data_size_byte),PACKET,31,0,8,NONE,,,,,,,,不揮発メモリ書き込みサイズ,
,WRITE.DATA_0,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[0]),PACKET,32,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_1,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[1]),PACKET,33,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_2,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[2]),PACKET,34,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_3,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[3]),PACKET,35,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_4,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[4]),PACKET,36,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_5,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[5]),PACKET,37,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_6,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[6]),PACKET,38,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,WRITE.DATA_7,uint8_t,(uint8_t)(non_volatile_memory_manager->write_info.data[7]),PACKET,39,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,READ.START_ADDRESS,uint32_t,(uint32_t)(non_volatile_memory_manager->read_info.start_address),PACKET,40,0,32,NONE,,,,,,,,不揮発メモリ読み出し先頭アドレス,
,READ.DATA_SIZE,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data_size_byte),PACKET,44,0,8,NONE,,,,,,,,不揮発メモリ読み出しサイズ,
,READ.DATA_0,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[0]),PACKET,45,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_1,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[1]),PACKET,46,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_2,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[2]),PACKET,47,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_3,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[3]),PACKET,48,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_4,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[4]),PACKET,49,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_5,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[5]),PACKET,50,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_6,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[6]),PACKET,51,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,READ.DATA_7,uint8_t,(uint8_t)(non_volatile_memory_manager->read_info.data[7]),PACKET,52,0,8,NONE,,,,,,,,不揮発メモリ読み出しデータ,
,PARTITION.ERROR_STATUS,uint8_t,(uint8_t)(non_volatile_memory_partition->error_status),PACKET,53,0,8,STATUS,,,,,,,0=OK@@ 1=NG_ADDRESS@@ 2=NG_LENGTH@@ 3=NG_READ@@ 4=NG_WRITE@@ 5=NG_OTHERS,パーティションアクセス不揮発メモリエラーステータス,
,PARTITION.WRITE.ID,uint8_t,(uint8_t)(non_volatile_memory_partition->write_info.partition_id),PACKET,54,0,8,NONE,,,,,,,,書き込みパーティションID,
,PARTITION.WRITE.START_ADDRESS,uint32_t,(uint32_t)(non_volatile_memory_partition->write_info.start_address),PACKET,55,0,32,HEX,,,,,,,,不揮発メモリ書き込み先頭アドレス,
,PARTITION.WRITE.DATA_SIZE,uint8_t,(uint8_t)(non_volatile_memory_partition->write_info.data_size_byte),PACKET,59,0,8,NONE,,,,,,,,不揮発メモリ書き込みサイズ,
,PARTITION.WRITE.DATA_0,uint8_t,(uint8_t)(non_volatile_memory_partition->write_info.data[0]),PACKET,60,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,PARTITION.WRITE.DATA_1,uint8_t,(uint8_t)(non_volatile_memory_partition->write_info.data[1]),PACKET,61,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
,PARTITION.WRITE.DATA_2,uint8_t,(uint8_t)(non_volatile_memory_partition->write_info.data[2]),PACKET,62,0,8,NONE,,,,,,,,不揮発メモリ書き込みデータ,
