,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0xcc,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DR_PARTITION,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,METHOD,uint8_t,(uint8_t)(orbit_calculator->method),PACKET,26,0,8,STATUS,,,,,,,0=KEPLER@@ 1=SGP4@@ 2=KEPLER_GPSR@@ 3=EKF,軌道伝搬手法,
,KEPLER_GPSR.GPSR_UPDATE,uint8_t,(uint8_t)(orbit_calculator->gpsr_update),PACKET,27,0,8,STATUS,,,,,,,0=DISABLE@@ 1=ENABLE,Kepler伝播にGPSRテレメを用いるフラッグ,
,KEPLER_GPSR.SEMI_MAJOR_AXIS_km,float,(float)(gpsr_orbit_propagator->orbital_elements.semi_major_axis_km),PACKET,28,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道長半径,
,KEPLER_GPSR.ECCENTRICITY,float,(float)(gpsr_orbit_propagator->orbital_elements.eccentricity),PACKET,32,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている離心率,
,KEPLER_GPSR.INCLINATION_rad,float,(float)(gpsr_orbit_propagator->orbital_elements.inclination_rad),PACKET,36,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道傾斜角,
,KEPLER_GPSR.RAAN_rad,float,(float)(gpsr_orbit_propagator->orbital_elements.raan_rad),PACKET,40,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている昇交点赤経,
,KEPLER_GPSR.ARG_PERIGIEE_rad,float,(float)(gpsr_orbit_propagator->orbital_elements.arg_perigee_rad),PACKET,44,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている近地点引数,
,KEPLER_GPSR.EPOCH_jday,double,(double)(gpsr_orbit_propagator->orbital_elements.epoch_jday),PACKET,48,0,64,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われているエポック,
,KEPLER_GPSR.THRESHOLD.SEMI_MAJOR_AXIS_km,float,(float)(gpsr_orbit_propagator->orbital_elements_threshold.semi_major_axis_km),PACKET,56,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道長半径の更新幅閾値,
,KEPLER_GPSR.THRESHOLD.ECCENTRICITY,float,(float)(gpsr_orbit_propagator->orbital_elements_threshold.eccentricity),PACKET,60,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている離心率の更新幅閾値,
,KEPLER_GPSR.THRESHOLD.INCLINATION_rad,float,(float)(gpsr_orbit_propagator->orbital_elements_threshold.inclination_rad),PACKET,64,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道傾斜角の更新幅閾値,
,KEPLER_GPSR.THRESHOLD.RAAN_rad,float,(float)(gpsr_orbit_propagator->orbital_elements_threshold.raan_rad),PACKET,68,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている昇交点赤経の更新幅閾値,
,KEPLER_GPSR.THRESHOLD.ARG_PERIGIEE_rad,float,(float)(gpsr_orbit_propagator->orbital_elements_threshold.arg_perigee_rad),PACKET,72,0,32,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている近地点引数の更新幅閾値,
,KEPLER_GPSR.THRESHOLD.EPOCH_jday,double,(double)(gpsr_orbit_propagator->orbital_elements_threshold.epoch_jday),PACKET,76,0,64,NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われているエポックの更新幅閾値,
,KEPLER_GPSR.POS_ECI_X_km,float,(float)(orbit_calculator->position_gpsr_kepler_eci_km[0]),PACKET,84,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した位置ECI座標 X [km],
,KEPLER_GPSR.POS_ECI_Y_km,float,(float)(orbit_calculator->position_gpsr_kepler_eci_km[1]),PACKET,88,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した位置ECI座標 Y [km],
,KEPLER_GPSR.POS_ECI_Z_km,float,(float)(orbit_calculator->position_gpsr_kepler_eci_km[2]),PACKET,92,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した位置ECI座標 Z [km],
,KEPLER_GPSR.VEL_ECI_X_km_s,float,(float)(orbit_calculator->velocity_gpsr_kepler_eci_km_s[0]),PACKET,96,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した速度ECI座標 X [km/s],
,KEPLER_GPSR.VEL_ECI_Y_km_s,float,(float)(orbit_calculator->velocity_gpsr_kepler_eci_km_s[1]),PACKET,100,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した速度ECI座標 Y [km/s],
,KEPLER_GPSR.VEL_ECI_Z_km_s,float,(float)(orbit_calculator->velocity_gpsr_kepler_eci_km_s[2]),PACKET,104,0,32,NONE,,,,,,,,GPSRテレメを用いてKepler伝播した速度ECI座標 Z [km/s],
,AOCS_MANAGER.POS_ECI_X_km,float,(float)(aocs_manager->sat_pos_est_eci_m)[0],PACKET,108,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した位置ECI座標 X [km],
,AOCS_MANAGER.POS_ECI_Y_km,float,(float)(aocs_manager->sat_pos_est_eci_m)[1],PACKET,112,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した位置ECI座標 Y [km],
,AOCS_MANAGER.POS_ECI_Z_km,float,(float)(aocs_manager->sat_pos_est_eci_m)[2],PACKET,116,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した位置ECI座標 Z [km],
,AOCS_MANAGER.VEL_ECI_X_km_s,float,(float)(aocs_manager->sat_vel_est_eci_m_s)[0],PACKET,120,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した速度ECI座標 X [km/s],
,AOCS_MANAGER.VEL_ECI_Y_km_s,float,(float)(aocs_manager->sat_vel_est_eci_m_s)[1],PACKET,124,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した速度ECI座標 Y [km/s],
,AOCS_MANAGER.VEL_ECI_Z_km_s,float,(float)(aocs_manager->sat_vel_est_eci_m_s)[2],PACKET,128,0,32,POLY,0,0.001,,,,,,選択したmethodで伝播した速度ECI座標 Z [km/s],
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
