,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x36,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL1,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[0]),PACKET,26,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL2,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[1]),PACKET,27,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL3,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[2]),PACKET,28,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL4,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[3]),PACKET,29,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL5,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[4]),PACKET,30,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL6,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[5]),PACKET,31,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL7,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[6]),PACKET,32,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL8,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[7]),PACKET,33,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL9,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[8]),PACKET,34,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL10,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[9]),PACKET,35,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL11,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[10]),PACKET,36,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL12,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[11]),PACKET,37,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL13,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[12]),PACKET,38,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL14,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[13]),PACKET,39,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL15,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[14]),PACKET,40,0,8,NONE,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL16,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.log_level[15]),PACKET,41,0,8,NONE,,,,,,,,,
,LIMITS.ACTION,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.action),PACKET,42,0,8,NONE,,,,,,,,,
,LIMITS.MAX_VALUE1,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[0]),PACKET,43,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE2,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[1]),PACKET,47,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE3,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[2]),PACKET,51,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE4,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[3]),PACKET,55,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE5,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[4]),PACKET,59,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE6,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[5]),PACKET,63,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE7,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[6]),PACKET,67,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE8,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[7]),PACKET,71,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE9,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[8]),PACKET,75,0,32,NONE,,,,,,,,,
,LIMITS.MAX_VALUE10,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.limits.max_value[9]),PACKET,79,0,32,NONE,,,,,,,,,
,MOUNTING.QX,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.mounting.vector_part[0]),PACKET,83,0,32,NONE,,,,,,,,,
,MOUNTING.QY,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.mounting.vector_part[1]),PACKET,87,0,32,NONE,,,,,,,,,
,MOUNTING.QZ,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.mounting.vector_part[2]),PACKET,91,0,32,NONE,,,,,,,,,
,MOUNTING.QW,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.mounting.scalar_part),PACKET,95,0,32,NONE,,,,,,,,,
,DISTORTION.MODE,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.mode),PACKET,99,0,8,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT0,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[0]),PACKET,100,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT1,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[1]),PACKET,104,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT2,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[2]),PACKET,108,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT3,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[3]),PACKET,112,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT4,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[4]),PACKET,116,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT5,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[5]),PACKET,120,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT6,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[6]),PACKET,124,0,32,NONE,,,,,,,,,
,DISTORTION.K0_COEFFICIENT7,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.k0_coefficient[7]),PACKET,128,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT0,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[0]),PACKET,132,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT1,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[1]),PACKET,136,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT2,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[2]),PACKET,140,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT3,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[3]),PACKET,144,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT4,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[4]),PACKET,148,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT5,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[5]),PACKET,152,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT6,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[6]),PACKET,156,0,32,NONE,,,,,,,,,
,DISTORTION.H0_COEFFICIENT7,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.distortion.h0_coefficient[7]),PACKET,160,0,32,NONE,,,,,,,,,
,CAMERA.MODE,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.mode),PACKET,164,0,8,NONE,,,,,,,,,
,CAMERA.FOCAL_LENGTH_mm,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.focal_length_mm),PACKET,165,0,32,NONE,,,,,,,,,
,CAMERA.EXPOSURE_s,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.exposure_s),PACKET,169,0,32,NONE,,,,,,,,,
,CAMERA.INTERVAL_s,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.interval_s),PACKET,173,0,32,NONE,,,,,,,,,
,CAMERA.OFFSET_pix,int16_t,(int16_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.offset_pix),PACKET,177,0,16,NONE,,,,,,,,,
,CAMERA.PGA_GAIN,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.pga_gain),PACKET,179,0,8,NONE,,,,,,,,,
,CAMERA.ADC_GAIN,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.adc_gain),PACKET,180,0,8,NONE,,,,,,,,,
,CAMERA.OVERRIDE_REGISTER1,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.override_register[0]),PACKET,181,0,8,NONE,,,,,,,,,
,CAMERA.OVERRIDE_REGISTER2,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.override_register[1]),PACKET,182,0,8,NONE,,,,,,,,,
,CAMERA.OVERRIDE_REGISTER3,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.override_register[2]),PACKET,183,0,8,NONE,,,,,,,,,
,CAMERA.OVERRIDE_REGISTER4,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.override_register[3]),PACKET,184,0,8,NONE,,,,,,,,,
,CAMERA.OVERRIDE_REGISTER5,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.camera.override_register[4]),PACKET,185,0,8,NONE,,,,,,,,,
